#{"t_start": 1621788826.2877219, "env_id": null}
r,l,t
1.974227,49,0.511373
-3.501182,49,0.529293
0.530534,49,0.680027
0.824579,49,0.699461
-1.251369,49,0.718209
0.72741,49,0.754066
1.605926,49,0.772963
-0.790288,49,0.809901
2.047659,49,0.829037
1.056538,49,0.848188
-0.580428,49,0.883839
-1.122327,49,0.903597
0.498339,49,0.922742
1.418917,49,0.959221
-0.14639,49,0.978116
2.797049,49,1.012941
-0.555937,49,1.031827
4.695114,49,1.049302
-1.107833,49,1.082566
0.017181,49,1.102052
3.201692,49,1.163518
2.200544,49,1.182211
2.944552,49,1.201798
2.98366,49,1.238132
1.820219,49,1.259738
0.325126,49,1.277599
2.178295,49,1.316055
1.793025,49,1.335592
1.953039,49,1.374769
2.781812,49,1.394397
-1.244755,49,1.413487
-0.95481,49,1.447306
2.491437,49,1.464907
-0.802281,49,1.498441
1.414219,49,1.51693
0.677672,49,1.534348
3.682096,49,1.57306
1.993352,49,1.59539
1.038361,49,1.615601
1.613358,49,1.657178
1.212112,49,1.689904
0.517679,49,1.730237
1.900747,49,1.751366
0.391269,49,1.772059
2.71895,49,1.813641
1.512568,49,1.83575
1.137811,49,1.856984
3.328337,49,1.900915
-0.890081,49,1.924873
1.745561,49,1.970376
2.139907,49,1.993562
1.655597,49,2.017216
2.155974,49,2.062015
-0.243431,49,2.086523
-1.032689,49,2.130057
-1.023417,49,2.1535
0.645419,49,2.176805
1.372901,49,2.222977
-0.014359,49,2.246938
1.106389,49,2.271535
0.087008,49,2.32109
0.947179,49,2.349426
1.268543,49,2.398963
4.96767,49,2.424288
2.351545,49,2.448253
2.21777,49,2.497645
-0.276353,49,2.521842
0.827325,49,2.568041
1.532827,49,2.591859
2.755658,49,2.615432
3.115961,49,2.660807
1.765869,49,2.68491
1.237541,49,2.709605
1.052439,49,2.755574
2.916529,49,2.779571
0.971277,49,2.850728
3.121106,49,2.892844
1.173379,49,2.933517
2.698785,49,3.016022
3.291165,49,3.059026
1.348545,49,3.13986
1.012912,49,3.196365
0.610286,49,3.220152
-0.297317,49,3.265653
0.629996,49,3.290304
-3.555725,49,3.314325
0.488206,49,3.360204
1.796067,49,3.382729
1.091599,49,3.429446
-0.442219,49,3.454992
5.087652,49,3.478793
1.87389,49,3.526815
0.48756,49,3.550983
1.003604,49,3.575514
2.867319,49,3.6214
1.687028,49,3.645377
4.051242,49,3.691838
1.127799,49,3.715744
2.640668,49,3.739779
2.671667,49,3.785352
1.49259,49,3.809398
0.9182,49,3.85189
1.293467,49,3.882095
4.388274,49,3.899588
1.494585,49,3.933533
0.896387,49,3.950809
0.784979,49,3.969226
1.364995,49,4.003897
3.969309,49,4.02096
2.553839,49,4.054269
1.308203,49,4.073594
1.522561,49,4.090826
3.327557,49,4.12578
1.870803,49,4.143576
2.739274,49,4.17591
-0.059351,49,4.192965
1.174243,49,4.209562
0.675775,49,4.243601
3.185314,49,4.261215
0.946274,49,4.278589
3.405026,49,4.313406
2.589382,49,4.330622
0.470301,49,4.373879
0.69741,49,4.391729
3.148404,49,4.408997
4.9345,49,4.443005
